Lab_Number,General_Context,Associated_Feature_Type,Material,Quad,Distance_Band,Researcher,Age,Class,Reference,CRA,SD,
Wk-24284,"ST 12, near Feature HH-531a",Ceremonial,Wood charcoal - identified,31,1000-1500,"Mulrooney, 2006",214 ± 30,2a,Martinsson-Wallin and Crockford 2002:251,214,30,
Wk-24286,"ST 22, near Feature SH-2-4",Residential,Wood charcoal - identified,31,1000-1500,"Mulrooney, 2006",157 ± 28,1c,"Mulrooney et al., 2009:101",157,28,
Wk-24287,"ST 22, near Feature SH-2-4",Residential,Wood charcoal - identified,31,1000-1500,"Mulrooney, 2006",90 ± 30,1c,"Mulrooney et al., 2009:101",90,30,
Wk-27374,"ST 3, near Feature HH-153a",Residential,Wood charcoal - identified,31,500-1000,"Mulrooney et al., 2008",110 ± 30,1c,"Mulrooney et al., 2009:101",110,30,
Wk-27375,"ST 3, near Feature HH-153a",Residential,Wood charcoal - identified,31,500-1000,"Mulrooney et al., 2008",352 ± 30,1c,Mulrooney 2012,352,30,
Wk-27376,"ST 6, near Feature HH-52a",Residential,Wood charcoal - identified,31,0-500,"Mulrooney et al., 2008",146 ± 30,1c,Mulrooney 2012,146,30,
Wk-27382,"ST 46, near Feature SH-1-93f",Residential,Wood charcoal - identified,31,0-500,"Mulrooney et al., 2008",243 ± 30,1c,Mulrooney 2012,243,30,
Wk-27383,"ST 46, near Feature SH-1-93f",Residential,"Wood charcoal -
unidentiﬁed",31,0-500,"Mulrooney et al., 2008",212 ± 30,1c,Mulrooney 2012,212,30,
Beta-46103,"Site 32-14, Burial",Residential,Organic material,31,0-500,"Vargas Casanova et al., 1986",100 ± 70,1c,Mulrooney 2012,100,70,
Gd-6963,Site 32-200c,Burial,Organic material,32,0-500,"Vargas Casanova et al., 1986",150 ± 90,2b,"Vargas Casanova et al., 2006:176-81",150,90,
Gd-6965,Site 32-200c,Animal husbandry,Wood charcoal,33,0-500,"Vargas Casanova et al., 1986",120 ± 100,2b,"Vargas Casanova et al., 2006:128",120,100,
Beta-210552,"Site F, umu near Ahu Heu",Animal husbandry,Wood charcoal,33,0-500,"Shepardson et al., 2005",100 ± 40,2b,"Vargas Casanova et al., 2006:128",100,40,
K-522,"’Anakena E2, Circular dwelling",Residential,Wood charcoal,33,"0-500
0-500"," Heyerdahl et al., 1956",430 ± 100,2b,Shepardson unpublished ,430,100,
UGa-630,"’Anakena 35-8, hare paenga",Residential,Wood charcoal,33,0-500,"Ayres, 1973",395 ± 75,2b,Martinsson-Wallin and Crockford 2002:248,395,75,
Gak-4616,Ahu Ihu Arero,Residential,Wood charcoal,35,0-500,"Ayres, 1973",480 ± 90,2b,Martinsson-Wallin and Crockford 2002:248,480,90,
Gak-4617,Ahu Ihu Arero,Residential,Wood charcoal,35,0-500,"Ayres, 1973",480 ± 90,2a,"Ayres, 1975:97",480,90,
Beta-28753 ,Site 35-11,Residential,Wood charcoal,35,"0-500
0-500","Vargas Casanova et al., 1986",280 ± 60,2a,Martinsson-Wallin and Crockford 2002:250,280,60,
